(.venv) C:\Users\busyp\CCIR>python scripts\train.py --epochs 10 --batch_size 64 --device cuda
Device: cuda
Loading BioMedCLIP...
Model on: cuda:0
Trainable params: 57,522,177 / 195,902,721 (29.4%)
Loading tokenizer...
Tokenizer ready.
Loading OrganAMNIST...
OrganAMNIST loaded.
Loading captions...
Pre-tokenizing captions...
Captions ready.
Datasets wrapped.
DataLoaders ready.
Train: 34561 images | Val: 6491 images
Starting training: 10 epochs, lr=0.0001, batch=64
Image tensor device: cuda:0
Token tensor device: cuda:0
Model device: cuda:0
  batch 527/541 | loss=45.8596
  batch 528/541 | loss=45.7789
  batch 529/541 | loss=45.6984
  batch 530/541 | loss=45.6187
  batch 531/541 | loss=45.5387
  batch 532/541 | loss=45.4589
  batch 533/541 | loss=45.3796
  batch 534/541 | loss=45.3006
  batch 535/541 | loss=45.2219
  batch 536/541 | loss=45.1433
  batch 537/541 | loss=45.0659
  batch 538/541 | loss=44.9884
  batch 539/541 | loss=44.9108
  batch 540/541 | loss=44.8332
  batch 541/541 | loss=44.7540
Epoch 1/10 | train=44.7540 | val=3.5607 | 946s
  New best checkpoint saved (val=3.5607)
  batch 1/541 | loss=3.7390
  batch 2/541 | loss=3.6254
  batch 3/541 | loss=3.5415
  batch 4/541 | loss=3.4791
  batch 5/541 | loss=3.4544
  batch 6/541 | loss=3.4599
  batch 7/541 | loss=3.4559
  batch 8/541 | loss=3.4290
  batch 9/541 | loss=3.4066
  batch 10/541 | loss=3.3967
  batch 11/541 | loss=3.3640
  batch 12/541 | loss=3.3549
  batch 13/541 | loss=3.3471
  batch 14/541 | loss=3.3453
  batch 15/541 | loss=3.3363
  batch 16/541 | loss=3.3196
  batch 17/541 | loss=3.3246
  batch 18/541 | loss=3.3176
  batch 19/541 | loss=3.3103
  batch 20/541 | loss=3.3100
  batch 21/541 | loss=3.3092
  batch 22/541 | loss=3.3131
  batch 23/541 | loss=3.3122
  batch 24/541 | loss=3.3011
  batch 25/541 | loss=3.3056
  batch 26/541 | loss=3.3103
  batch 27/541 | loss=3.3146
  batch 28/541 | loss=3.3232
  batch 29/541 | loss=3.3194
  batch 30/541 | loss=3.3183
  batch 31/541 | loss=3.3188
  batch 32/541 | loss=3.3247
  batch 33/541 | loss=3.3273
  batch 34/541 | loss=3.3250
  batch 35/541 | loss=3.3227
  batch 36/541 | loss=3.3190
  batch 37/541 | loss=3.3229
  batch 38/541 | loss=3.3214
